Deck Name,Card Name,Count,Set,Price (USD),Card URL
Lost Zone Box,Comfey,4.0,LOR,$0.76,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F283960%2Fswsh11-lost-origin-comfey
Lost Zone Box,Cramorant,1.1,LOR,$0.15,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F283924%2Fswsh11-lost-origin-cramorant
Lost Zone Box,Iron Hands ex,1.0,PAR,$2.29,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F523706%2Fpokemon-sv04-paradox-rift-iron-hands-ex-070-182
Lost Zone Box,Bloodmoon Ursaluna ex,1.0,TWM,$1.95,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F550185%2Fpokemon-sv06-twilight-masquerade-bloodmoon-ursaluna-ex-141-167
Lost Zone Box,Radiant Greninja,1.0,ASR,$1.20,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F272246%2Fswsh10-astral-radiance-radiant-greninja
Lost Zone Box,Pikachu ex,0.98,SSP,$6.25,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F590025%2Fpokemon-sv08-surging-sparks-pikachu-ex-057-191
Lost Zone Box,Iron Bundle,0.86,PAR,$0.12,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F523666%2Fpokemon-sv04-paradox-rift-iron-bundle
Lost Zone Box,Sableye,0.76,LOR,$0.25,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F283946%2Fswsh11-lost-origin-sableye
Lost Zone Box,Regigigas,0.68,PRE,$0.08,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F610441%2Fpokemon-sv-prismatic-evolutions-regigigas
Lost Zone Box,Fezandipiti ex,0.54,SFA,$6.98,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F560348%2Fpokemon-sv-shrouded-fable-fezandipiti-ex-038-064
Lost Zone Box,Fan Rotom,0.14,SCR,$0.01,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F567344%2Fpokemon-sv07-stellar-crown-fan-rotom
Lost Zone Box,Spiritomb,0.14,PAL,$0.01,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F497504%2Fpokemon-sv02-paldea-evolved-spiritomb
Lost Zone Box,Joltik,0.06,SCR,$0.00,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F567276%2Fpokemon-sv07-stellar-crown-joltik-050-142
Lost Zone Box,Budew,0.04,PRE,$0.03,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F610359%2Fpokemon-sv-prismatic-evolutions-budew
Lost Zone Box,Ditto,0.04,MEW,$0.01,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F516695%2Fpokemon-sv-scarlet-and-violet-151-ditto
Lost Zone Box,Terapagos ex,0.02,SCR,$0.08,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F567376%2Fpokemon-sv07-stellar-crown-terapagos-ex-128-142
Lost Zone Box,Munkidori,0.02,TWM,$0.01,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F550139%2Fpokemon-sv06-twilight-masquerade-munkidori
Lost Zone Box,Colress's Experiment,4.0,LOR,$0.28,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F284085%2Fswsh11-lost-origin-colresss-experiment
Lost Zone Box,Super Rod,4.0,PAL,$1.32,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F497560%2Fpokemon-sv02-paldea-evolved-super-rod-188-193
Lost Zone Box,Nest Ball,4.0,SVI,$1.28,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F488087%2Fsv01-scarlet-and-violet-base-set-nest-ball-181-198
Lost Zone Box,Switch Cart,4.0,ASR,$1.24,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F272406%2Fswsh10-astral-radiance-switch-cart
Lost Zone Box,Mirage Gate,4.0,LOR,$0.28,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F282257%2Fswsh11-lost-origin-mirage-gate
Lost Zone Box,Buddy-Buddy Poffin,2.86,TEF,$1.40,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F542659%2Fpokemon-sv05-temporal-forces-buddy-buddy-poffin
Lost Zone Box,Switch,2.64,SVI,$0.42,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F488102%2Fsv01-scarlet-and-violet-base-set-switch-194-198
Lost Zone Box,PokéStop,1.88,PGO,$0.65,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F276996%2Fpokemon-go-pokestop
Lost Zone Box,Lost Vacuum,1.54,LOR,$0.09,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F284094%2Fswsh11-lost-origin-lost-vacuum
Lost Zone Box,Boss's Orders,1.36,PAL,$1.67,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F497544%2Fpokemon-sv02-paldea-evolved-bosss-orders-172-193
Lost Zone Box,Hisuian Heavy Ball,0.98,ASR,$0.37,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F272398%2Fswsh10-astral-radiance-hisuian-heavy-ball
Lost Zone Box,Prime Catcher,0.98,TEF,$2.68,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F542674%2Fpokemon-sv05-temporal-forces-prime-catcher
Lost Zone Box,Rescue Board,0.92,TEF,$0.12,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F542677%2Fpokemon-sv05-temporal-forces-rescue-board
Lost Zone Box,Artazon,0.92,PAL,$0.10,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F497541%2Fpokemon-sv02-paldea-evolved-artazon
Lost Zone Box,Pokégear 3.0,0.88,SVI,$1.64,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F488092%2Fsv01-scarlet-and-violet-base-set-pokegear-30-186-198
Lost Zone Box,Night Stretcher,0.86,SFA,$2.39,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F560372%2Fpokemon-sv-shrouded-fable-night-stretcher
Lost Zone Box,Roxanne,0.66,ASR,$0.04,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F272402%2Fswsh10-astral-radiance-roxanne
Lost Zone Box,Pal Pad,0.58,SVI,$0.20,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F488088%2Fsv01-scarlet-and-violet-base-set-pal-pad-182-198
