Deck Name,Card Name,Count,Set,Price (USD),Card URL
Mew Genesect Fusion Strike,Escape Rope,1.3,BST,$0.16,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F234117%2Fswsh05-battle-styles-escape-rope
Mew Genesect Fusion Strike,Level Ball,0.03,BST,$0.00,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F234123%2Fswsh05-battle-styles-level-ball
Inteleon VMAX (Rapid Strike),Rapid Strike Urshifu V,2.0,BST,$1.14,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F234267%2Fswsh05-battle-styles-rapid-strike-urshifu-v
Inteleon VMAX (Rapid Strike),Rapid Strike Urshifu VMAX,2.0,BST,$2.16,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F234268%2Fswsh05-battle-styles-rapid-strike-urshifu-vmax
Inteleon VMAX (Rapid Strike),Octillery,2.0,BST,$0.42,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F234172%2Fswsh05-battle-styles-octillery
Inteleon VMAX (Rapid Strike),Remoraid,1.68,BST,$0.11,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F234168%2Fswsh05-battle-styles-remoraid
Inteleon VMAX (Rapid Strike),Tower of Waters,3.0,BST,$0.24,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F234145%2Fswsh05-battle-styles-tower-of-waters
Inteleon VMAX (Rapid Strike),Korrina's Focus,1.76,BST,$0.15,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F234121%2Fswsh05-battle-styles-korrinas-focus
Inteleon VMAX (Rapid Strike),Escape Rope,0.82,BST,$0.10,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F234117%2Fswsh05-battle-styles-escape-rope
Inteleon VMAX (Rapid Strike),Rapid Strike Energy,4.0,BST,$0.48,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F234147%2Fswsh05-battle-styles-rapid-strike-energy
Vikavolt V,Vikavolt V,2.0,DAA,$1.26,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F219411%2Fswsh03-darkness-ablaze-vikavolt-v
Vikavolt V,Galarian Zigzagoon,0.98,SSH,$0.12,https://partner.tcgplayer.com/LIMITLESS?u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F208427%2Fswsh01-sword-and-shield-base-set-galarian-zigzagoon
