Set ID,Number,Name,Rarity,Grade,Month,Average
swsh1,1,Celebi V,Rare Holo V,holo-good,2022-11,166.0
swsh1,1,Celebi V,Rare Holo V,holo-good,2022-12,125.95
swsh1,1,Celebi V,Rare Holo V,holo-good,2023-01,176.0
swsh1,1,Celebi V,Rare Holo V,holo-good,2023-02,200.71
swsh1,1,Celebi V,Rare Holo V,holo-good,2023-03,163.75
swsh1,1,Celebi V,Rare Holo V,holo-good,2023-04,157.73
swsh1,1,Celebi V,Rare Holo V,holo-good,2023-05,153.55
swsh1,1,Celebi V,Rare Holo V,holo-good,2023-06,200.12
swsh1,1,Celebi V,Rare Holo V,holo-good,2023-07,119.71
swsh1,1,Celebi V,Rare Holo V,holo-good,2023-08,244.25
swsh1,1,Celebi V,Rare Holo V,holo-good,2023-09,213.58
swsh1,1,Celebi V,Rare Holo V,holo-good,2023-10,134.21
swsh1,1,Celebi V,Rare Holo V,holo-good,2023-11,127.0
swsh1,1,Celebi V,Rare Holo V,holo-good,2024-05,108.2
swsh1,1,Celebi V,Rare Holo V,holo-good,2024-06,106.29
swsh1,1,Celebi V,Rare Holo V,holo-good,2024-07,122.0
swsh1,1,Celebi V,Rare Holo V,holo-good,2024-08,71.0
swsh1,1,Celebi V,Rare Holo V,holo-good,2024-09,371.67
swsh1,1,Celebi V,Rare Holo V,holo-nearmint,2024-05,127.67
swsh1,1,Celebi V,Rare Holo V,holo-nearmint,2024-06,131.92
swsh1,1,Celebi V,Rare Holo V,holo-nearmint,2024-07,211.05
swsh1,1,Celebi V,Rare Holo V,holo-nearmint,2024-08,166.63
swsh1,1,Celebi V,Rare Holo V,holo-nearmint,2024-09,180.84
swsh1,1,Celebi V,Rare Holo V,holo-played,2024-06,222.0
swsh1,1,Celebi V,Rare Holo V,holo-played,2024-07,182.0
swsh1,1,Celebi V,Rare Holo V,holo-played,2024-08,176.0
swsh1,1,Celebi V,Rare Holo V,holo-played,2024-09,177.0
swsh1,1,Celebi V,Rare Holo V,holo-used,2024-06,25.0
swsh1,10,Grookey,Common,normal-good,2022-12,21.82
swsh1,10,Grookey,Common,normal-good,2023-01,28.5
swsh1,10,Grookey,Common,normal-good,2023-02,12.0
swsh1,10,Grookey,Common,normal-good,2023-03,23.5
swsh1,10,Grookey,Common,normal-good,2023-04,93.0
swsh1,10,Grookey,Common,normal-good,2023-05,33.33
swsh1,10,Grookey,Common,normal-good,2023-06,7.8
swsh1,10,Grookey,Common,normal-good,2023-07,8.67
swsh1,10,Grookey,Common,normal-good,2023-08,197.0
swsh1,10,Grookey,Common,normal-good,2023-09,38.33
swsh1,10,Grookey,Common,normal-good,2023-10,25.22
swsh1,10,Grookey,Common,normal-good,2023-11,46.8
swsh1,10,Grookey,Common,normal-good,2024-05,65.5
swsh1,10,Grookey,Common,normal-good,2024-06,5.5
swsh1,10,Grookey,Common,normal-good,2024-07,49.0
swsh1,10,Grookey,Common,normal-good,2024-08,35.5
swsh1,10,Grookey,Common,normal-good,2024-09,131.0
swsh1,10,Grookey,Common,reverse-good,2022-12,66.0
swsh1,10,Grookey,Common,reverse-good,2023-01,18.5
swsh1,10,Grookey,Common,reverse-good,2023-03,67.5
swsh1,10,Grookey,Common,reverse-good,2023-04,42.62
swsh1,10,Grookey,Common,reverse-good,2023-05,80.67
swsh1,10,Grookey,Common,reverse-good,2023-07,67.5
swsh1,10,Grookey,Common,reverse-good,2023-08,399.0
swsh1,10,Grookey,Common,reverse-good,2023-09,10.5
swsh1,10,Grookey,Common,reverse-good,2023-10,41.25
swsh1,10,Grookey,Common,reverse-good,2023-11,39.0
swsh1,10,Grookey,Common,reverse-good,2024-05,129.5
swsh1,10,Grookey,Common,reverse-good,2024-06,132.0
swsh1,10,Grookey,Common,reverse-good,2024-07,12.0
swsh1,10,Grookey,Common,reverse-good,2024-08,142.0
swsh1,10,Grookey,Common,reverse-good,2024-09,507.0
swsh1,10,Grookey,Common,reverse-nearmint,2024-05,18.0
swsh1,10,Grookey,Common,reverse-nearmint,2024-06,48.0
swsh1,10,Grookey,Common,reverse-nearmint,2024-07,99.25
swsh1,10,Grookey,Common,reverse-nearmint,2024-08,56.33
swsh1,10,Grookey,Common,reverse-nearmint,2024-09,123.25
swsh1,10,Grookey,Common,normal-nearmint,2024-05,36.67
swsh1,10,Grookey,Common,normal-nearmint,2024-06,179.75
swsh1,10,Grookey,Common,normal-nearmint,2024-07,90.7
swsh1,10,Grookey,Common,normal-nearmint,2024-08,68.0
swsh1,10,Grookey,Common,normal-nearmint,2024-09,49.5
swsh1,10,Grookey,Common,normal-played,2024-07,501.0
swsh1,10,Grookey,Common,reverse-played,2024-07,165.0
swsh1,100,Sudowoodo,Uncommon,normal-good,2022-12,65.2
swsh1,100,Sudowoodo,Uncommon,normal-good,2023-01,42.67
swsh1,100,Sudowoodo,Uncommon,normal-good,2023-02,39.67
swsh1,100,Sudowoodo,Uncommon,normal-good,2023-03,74.0
swsh1,100,Sudowoodo,Uncommon,normal-good,2023-04,85.0
swsh1,100,Sudowoodo,Uncommon,normal-good,2023-05,47.67
swsh1,100,Sudowoodo,Uncommon,normal-good,2023-06,73.0
swsh1,100,Sudowoodo,Uncommon,normal-good,2023-07,76.2
swsh1,100,Sudowoodo,Uncommon,normal-good,2023-08,65.5
swsh1,100,Sudowoodo,Uncommon,normal-good,2023-09,121.67
swsh1,100,Sudowoodo,Uncommon,normal-good,2023-10,83.27
swsh1,100,Sudowoodo,Uncommon,normal-good,2023-11,59.5
swsh1,100,Sudowoodo,Uncommon,normal-good,2024-05,66.25
swsh1,100,Sudowoodo,Uncommon,normal-good,2024-06,95.5
swsh1,100,Sudowoodo,Uncommon,normal-good,2024-07,3.0
swsh1,100,Sudowoodo,Uncommon,normal-good,2024-08,32.6
swsh1,100,Sudowoodo,Uncommon,normal-good,2024-09,83.5
swsh1,100,Sudowoodo,Uncommon,reverse-good,2022-12,91.0
swsh1,100,Sudowoodo,Uncommon,reverse-good,2023-01,108.5
swsh1,100,Sudowoodo,Uncommon,reverse-good,2023-02,143.33
swsh1,100,Sudowoodo,Uncommon,reverse-good,2023-03,94.2
swsh1,100,Sudowoodo,Uncommon,reverse-good,2023-04,112.25
swsh1,100,Sudowoodo,Uncommon,reverse-good,2023-05,54.5
swsh1,100,Sudowoodo,Uncommon,reverse-good,2023-06,25.0
swsh1,100,Sudowoodo,Uncommon,reverse-good,2023-07,78.8
swsh1,100,Sudowoodo,Uncommon,reverse-good,2023-08,399.0
swsh1,100,Sudowoodo,Uncommon,reverse-good,2023-09,42.5
swsh1,100,Sudowoodo,Uncommon,reverse-good,2023-10,40.0
swsh1,100,Sudowoodo,Uncommon,reverse-good,2023-11,35.0
swsh1,100,Sudowoodo,Uncommon,reverse-good,2024-05,119.67
swsh1,100,Sudowoodo,Uncommon,reverse-good,2024-06,156.5
swsh1,100,Sudowoodo,Uncommon,reverse-good,2024-07,540.0
swsh1,100,Sudowoodo,Uncommon,reverse-good,2024-08,41.0
swsh1,100,Sudowoodo,Uncommon,reverse-good,2024-09,31.67
swsh1,100,Sudowoodo,Uncommon,reverse-nearmint,2024-05,56.0
swsh1,100,Sudowoodo,Uncommon,reverse-nearmint,2024-06,174.0
swsh1,100,Sudowoodo,Uncommon,reverse-nearmint,2024-07,205.75
swsh1,100,Sudowoodo,Uncommon,reverse-nearmint,2024-08,79.5
swsh1,100,Sudowoodo,Uncommon,reverse-nearmint,2024-09,122.4
swsh1,100,Sudowoodo,Uncommon,normal-nearmint,2024-05,65.0
swsh1,100,Sudowoodo,Uncommon,normal-nearmint,2024-06,170.33
swsh1,100,Sudowoodo,Uncommon,normal-nearmint,2024-07,97.5
swsh1,100,Sudowoodo,Uncommon,normal-nearmint,2024-08,112.1
swsh1,100,Sudowoodo,Uncommon,normal-nearmint,2024-09,146.57
swsh1,100,Sudowoodo,Uncommon,reverse-played,2024-08,146.0
swsh1,100,Sudowoodo,Uncommon,reverse-played,2024-09,146.5
swsh1,100,Sudowoodo,Uncommon,normal-played,2024-07,126.0
swsh1,101,Baltoy,Common,reverse-good,2022-12,40.75
swsh1,101,Baltoy,Common,reverse-good,2023-01,29.8
swsh1,101,Baltoy,Common,reverse-good,2023-02,25.0
swsh1,101,Baltoy,Common,reverse-good,2023-03,67.0
swsh1,101,Baltoy,Common,reverse-good,2023-04,33.4
