Set ID,Number,Name,Rarity
swsh1,1,Celebi V,Rare Holo V
swsh1,3,Roselia,Common
swsh1,2,Roselia,Common
swsh1,5,Cottonee,Common
swsh1,4,Roserade,Rare
swsh1,6,Whimsicott,Rare
swsh1,8,Durant,Rare
swsh1,7,Maractus,Common
swsh1,11,Grookey,Common
swsh1,9,Dhelmise V,Rare Holo V
swsh1,10,Grookey,Common
swsh1,12,Thwackey,Uncommon
swsh1,15,Rillaboom,Rare
swsh1,16,Blipbug,Common
swsh1,14,Rillaboom,Rare Holo
swsh1,13,Thwackey,Uncommon
swsh1,17,Blipbug,Common
swsh1,18,Dottler,Uncommon
swsh1,19,Orbeetle,Rare
swsh1,21,Eldegoss,Uncommon
swsh1,22,Vulpix,Common
swsh1,20,Gossifleur,Common
swsh1,23,Ninetales,Rare
swsh1,24,Torkoal V,Rare Holo V
swsh1,26,Heatmor,Uncommon
swsh1,27,Salandit,Common
swsh1,25,Victini V,Rare Holo V
swsh1,28,Salazzle,Uncommon
swsh1,29,Turtonator,Rare
swsh1,30,Scorbunny,Common
swsh1,32,Raboot,Uncommon
swsh1,31,Scorbunny,Common
swsh1,33,Raboot,Uncommon
swsh1,34,Cinderace,Rare Holo
swsh1,35,Cinderace,Rare Holo
swsh1,37,Sizzlipede,Common
swsh1,36,Cinderace,Rare
swsh1,38,Sizzlipede,Common
swsh1,39,Centiskorch,Rare
swsh1,40,Shellder,Common
swsh1,41,Cloyster,Rare
swsh1,43,Krabby,Common
swsh1,42,Krabby,Common
swsh1,45,Goldeen,Common
swsh1,44,Kingler,Uncommon
swsh1,47,Seaking,Uncommon
swsh1,46,Goldeen,Common
swsh1,48,Lapras,Rare
swsh1,51,Qwilfish,Uncommon
swsh1,50,Lapras VMAX,Rare Holo VMAX
swsh1,49,Lapras V,Rare Holo V
swsh1,54,Sobble,Common
swsh1,53,Keldeo V,Rare Holo V
swsh1,55,Sobble,Common
swsh1,52,Mantine,Uncommon
swsh1,56,Drizzile,Uncommon
swsh1,57,Drizzile,Uncommon
swsh1,58,Inteleon,Rare Holo
swsh1,59,Inteleon,Rare
swsh1,60,Chewtle,Common
swsh1,61,Drednaw,Rare
swsh1,64,Frosmoth,Rare Holo
swsh1,62,Cramorant,Rare
swsh1,63,Snom,Common
swsh1,65,Pikachu,Common
swsh1,66,Raichu,Rare
swsh1,67,Chinchou,Common
swsh1,68,Chinchou,Common
swsh1,70,Joltik,Common
swsh1,69,Lanturn,Rare
swsh1,72,Tapu Koko V,Rare Holo V
swsh1,71,Galvantula,Uncommon
swsh1,73,Yamper,Common
swsh1,74,Yamper,Common
swsh1,75,Boltund,Rare Holo
swsh1,76,Boltund,Rare Holo
swsh1,77,Pincurchin,Common
swsh1,78,Morpeko,Rare
swsh1,79,Morpeko V,Rare Holo V
swsh1,81,Galarian Ponyta,Common
swsh1,80,Morpeko VMAX,Rare Holo VMAX
swsh1,82,Galarian Rapidash,Rare
swsh1,83,Gastly,Common
swsh1,84,Haunter,Uncommon
swsh1,86,Wobbuffet V,Rare Holo V
swsh1,85,Gengar,Rare Holo
swsh1,87,Munna,Common
swsh1,91,Indeedee V,Rare Holo V
swsh1,90,Polteageist,Rare
swsh1,88,Musharna,Rare
swsh1,89,Sinistea,Common
swsh1,92,Diglett,Common
swsh1,93,Dugtrio,Uncommon
swsh1,97,Rhyhorn,Common
swsh1,98,Rhydon,Uncommon
swsh1,94,Hitmonlee,Uncommon
swsh1,95,Hitmonchan,Uncommon
swsh1,96,Rhyhorn,Common
swsh1,99,Rhyperior,Rare Holo
swsh1,100,Sudowoodo,Uncommon
swsh1,103,Claydol,Rare
swsh1,102,Baltoy,Common
swsh1,101,Baltoy,Common
swsh1,104,Regirock V,Rare Holo V
swsh1,105,Mudbray,Common
swsh1,106,Mudsdale,Rare
swsh1,107,Silicobra,Common
swsh1,108,Silicobra,Common
swsh1,109,Sandaconda,Rare
swsh1,111,Clobbopus,Common
swsh1,110,Sandaconda,Rare Holo
swsh1,112,Clobbopus,Common
swsh1,114,Stonjourner,Rare
swsh1,113,Grapploct,Rare
swsh1,115,Stonjourner V,Rare Holo V
swsh1,117,Galarian Zigzagoon,Common
swsh1,116,Stonjourner VMAX,Rare Holo VMAX
swsh1,118,Galarian Linoone,Uncommon
swsh1,119,Galarian Obstagoon,Rare Holo
swsh1,120,Sableye V,Rare Holo V
swsh1,123,Croagunk,Common
swsh1,124,Toxicroak,Rare Holo
swsh1,121,Skorupi,Common
swsh1,122,Drapion,Rare
swsh1,129,Mawile,Common
swsh1,131,Ferrothorn,Uncommon
swsh1,130,Ferroseed,Common
swsh1,125,Nickit,Common
swsh1,128,Galarian Perrserker,Rare Holo
swsh1,126,Thievul,Rare
swsh1,127,Galarian Meowth,Common
swsh1,133,Pawniard,Common
swsh1,135,Corviknight,Rare
swsh1,137,Copperajah,Rare Holo
swsh1,136,Cufant,Common
swsh1,148,Oranguru,Rare Holo
swsh1,134,Bisharp,Uncommon
swsh1,140,Snorlax,Rare
swsh1,144,Noctowl,Rare
swsh1,145,Minccino,Common
swsh1,139,Zamazenta V,Rare Holo V
swsh1,143,Hoothoot,Common
swsh1,147,Cinccino,Rare
swsh1,146,Minccino,Common
swsh1,153,Wooloo,Common
swsh1,132,Galarian Stunfisk,Uncommon
swsh1,138,Zacian V,Rare Holo V
swsh1,141,Snorlax V,Rare Holo V
swsh1,142,Snorlax VMAX,Rare Holo VMAX
swsh1,150,Rookidee,Common
swsh1,152,Wooloo,Common
swsh1,149,Drampa,Rare
swsh1,151,Corvisquire,Uncommon
swsh1,154,Dubwool,Uncommon
swsh1,157,Bede,Uncommon
swsh1,155,Cramorant V,Rare Holo V
swsh1,156,Air Balloon,Uncommon
swsh1,158,Big Charm,Uncommon
swsh1,159,Crushing Hammer,Uncommon
swsh1,160,Energy Retrieval,Uncommon
swsh1,162,Energy Switch,Uncommon
swsh1,164,Great Ball,Uncommon
swsh1,169,Marnie,Rare Holo
swsh1,179,Quick Ball,Uncommon
swsh1,180,Rare Candy,Uncommon
swsh1,172,Pal Pad,Uncommon
swsh1,173,Poké Kid,Uncommon
swsh1,187,Dhelmise V,Rare Ultra
swsh1,175,Pokémon Catcher,Uncommon
swsh1,178,Professor's Research (Professor Magnolia),Rare Holo
swsh1,181,Rotom Bike,Uncommon
swsh1,182,Sitrus Berry,Uncommon
swsh1,183,Switch,Uncommon
swsh1,184,Team Yell Grunt,Uncommon
swsh1,163,Evolution Incense,Uncommon
swsh1,165,Hop,Uncommon
swsh1,167,Lucky Egg,Uncommon
swsh1,161,Energy Search,Uncommon
swsh1,166,Hyper Potion,Uncommon
swsh1,168,Lum Berry,Uncommon
swsh1,171,Ordinary Rod,Uncommon
swsh1,186,Aurora Energy,Uncommon
swsh1,170,Metal Saucer,Uncommon
swsh1,174,Pokégear 3.0,Uncommon
swsh1,176,Pokémon Center Lady,Uncommon
swsh1,177,Potion,Uncommon
swsh1,185,Vitality Band,Uncommon
swsh1,191,Wobbuffet V,Rare Ultra
swsh1,194,Sableye V,Rare Ultra
swsh1,202,Team Yell Grunt,Rare Ultra
swsh1,204,Morpeko VMAX,Rare Rainbow
swsh1,206,Snorlax VMAX,Rare Rainbow
swsh1,211,Zacian V,Rare Secret
swsh1,214,Metal Saucer,Rare Secret
swsh1,215,Ordinary Rod,Rare Secret
swsh1,188,Torkoal V,Rare Ultra
swsh1,190,Morpeko V,Rare Ultra
swsh1,195,Zacian V,Rare Ultra
swsh1,199,Bede,Rare Ultra
swsh1,201,Professor's Research (Professor Magnolia),Rare Ultra
swsh1,203,Lapras VMAX,Rare Rainbow
swsh1,208,Marnie,Rare Rainbow
swsh1,209,Professor's Research (Professor Magnolia),Rare Rainbow
swsh1,212,Zamazenta V,Rare Secret
swsh1,189,Lapras V,Rare Ultra
swsh1,192,Indeedee V,Rare Ultra
swsh1,193,Stonjourner V,Rare Ultra
swsh1,198,Cramorant V,Rare Ultra
swsh1,200,Marnie,Rare Ultra
swsh1,210,Team Yell Grunt,Rare Rainbow
swsh1,196,Zamazenta V,Rare Ultra
swsh1,197,Snorlax V,Rare Ultra
swsh1,205,Stonjourner VMAX,Rare Rainbow
swsh1,207,Bede,Rare Rainbow
swsh1,213,Air Balloon,Rare Secret
swsh1,216,Quick Ball,Rare Secret
swsh2,1,Caterpie,Common
swsh2,2,Metapod,Uncommon
swsh2,3,Butterfree,Rare
swsh2,4,Scyther,Common
swsh2,5,Shuckle,Uncommon
swsh2,6,Heracross,Uncommon
swsh2,7,Lotad,Common
swsh2,9,Ludicolo,Rare
swsh2,8,Lombre,Uncommon
swsh2,10,Surskit,Common
swsh2,11,Masquerain,Uncommon
swsh2,12,Snover,Common
swsh2,13,Abomasnow,Rare
